Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200
2011-05-09 00:00:00-04:00,38.85641122477827,39.37068654811886,38.75164889831625,39.24687957763672,1730344,0.0,0.0,,
2011-05-10 00:00:00-04:00,39.53259278475987,39.86591885034114,39.39926068009204,39.72306442260742,1889965,0.0,0.0,,
2011-05-11 00:00:00-04:00,38.13262108537316,38.28499784740686,37.28501677954639,37.646915435791016,3003000,0.0,0.0,,
2011-05-12 00:00:00-04:00,38.08499833808533,38.86593507449863,37.75166949896881,38.599273681640625,1771000,0.0,0.0,,
2011-05-13 00:00:00-04:00,38.084999688336566,38.14213921945252,37.41834478386021,37.751670837402344,1352582,0.0,0.0,,
2011-05-16 00:00:00-04:00,38.27547854399479,38.71356701452246,37.85644031729105,37.97072219848633,2099251,0.0,0.0,,
2011-05-17 00:00:00-04:00,37.399301951799984,37.761200612908894,37.29454240198266,37.74215316772461,2191266,0.0,0.0,,
2011-05-18 00:00:00-04:00,37.894533524376136,38.61833091521314,37.85644142778872,38.4278564453125,1450295,0.0,0.0,,
2011-05-19 00:00:00-04:00,38.02784901804088,38.39926987578018,37.80880487217227,38.26593780517578,1765071,0.0,0.0,,
2011-05-20 00:00:00-04:00,38.08498692991434,38.09450924944633,37.43737968522161,37.67546844482422,2083466,0.0,0.0,,
2011-05-23 00:00:00-04:00,36.38980204598602,36.63741605980075,35.85647632693193,35.95171356201172,3465000,0.0,0.0,,
2011-05-24 00:00:00-04:00,36.38979200610321,36.43740921180923,35.77075434496513,36.11360549926758,2919224,0.0,0.0,,
2011-05-25 00:00:00-04:00,35.827899479837576,36.38979485975656,35.81837435951425,36.2374153137207,1098482,0.0,0.0,,
2011-05-26 00:00:00-04:00,36.12313512647167,36.199324908922385,35.589812244101665,36.02790069580078,1905288,0.0,0.0,,
2011-05-27 00:00:00-04:00,36.256465911865234,36.48503245341579,36.15170636354591,36.256465911865234,1133440,0.0,0.0,,
2011-05-31 00:00:00-04:00,37.18977869348171,37.22787357959039,36.72312053473874,37.15168380737305,1033725,0.0,0.0,,
2011-06-01 00:00:00-04:00,36.90407648561257,37.189785385446164,36.34218101048993,36.389801025390625,1247477,0.0,0.0,,
2011-06-02 00:00:00-04:00,36.570748215825766,36.81836222706269,36.22789697050053,36.56122589111328,1106798,0.0,0.0,,
2011-06-03 00:00:00-04:00,36.57073073875194,36.7231102404714,36.199309899397775,36.41835403442383,1029182,0.0,0.0,,
2011-06-06 00:00:00-04:00,36.40883665047206,36.53264642061323,36.11360549926758,36.11360549926758,692923,0.0,0.0,,
2011-06-07 00:00:00-04:00,36.808840378089116,37.1707390749094,36.61836870484341,36.8469352722168,1315622,0.0,0.0,,
2011-06-08 00:00:00-04:00,36.28503465679158,36.41836676741315,35.62790481935183,35.875518798828125,1545621,0.0,0.0,,
2011-06-09 00:00:00-04:00,35.72313006039514,36.4278768737169,35.60884543247688,36.085025787353516,736505,0.0,0.0,,
2011-06-10 00:00:00-04:00,35.63742836295534,35.704093016619446,34.66601713502612,34.827919006347656,2358972,0.0,0.0,,
2011-06-13 00:00:00-04:00,34.989819031668205,35.17076833697467,34.65649018614913,34.770774841308594,847847,0.0,0.0,,
2011-06-14 00:00:00-04:00,35.932656172274406,36.17074779539654,35.827896641370415,35.923133850097656,1735580,0.0,0.0,,
2011-06-15 00:00:00-04:00,34.713630115937725,35.09457614276395,34.246972002358355,34.427921295166016,1355046,0.0,0.0,,
2011-06-16 00:00:00-04:00,34.056506268290185,34.12317092534362,33.39937642652487,33.68508529663086,1752212,0.0,0.0,,
2011-06-17 00:00:00-04:00,34.1231700754913,34.1231700754913,33.523182582168594,33.69460678100586,1406328,0.0,0.0,,
2011-06-20 00:00:00-04:00,33.16127668661018,33.50412780665311,33.123181806895225,33.39936828613281,924231,0.0,0.0,,
2011-06-21 00:00:00-04:00,33.627946093516016,34.06603176300964,33.47556652333207,33.89460754394531,1307768,0.0,0.0,,
2011-06-22 00:00:00-04:00,33.475553809031176,34.00887650732926,33.427936610130416,33.618408203125,943173,0.0,0.0,,
2011-06-23 00:00:00-04:00,32.87556832120444,33.87554913608461,32.61842927842143,33.866024017333984,1358126,0.0,0.0,,
2011-06-24 00:00:00-04:00,33.62794108597717,33.761270392641435,33.113665707972345,33.31365966796875,1282820,0.0,0.0,,
2011-06-27 00:00:00-04:00,34.0660294512898,34.6945895408593,33.85651035389745,34.56126022338867,1446676,0.0,0.0,,
2011-06-28 00:00:00-04:00,34.018412237534925,34.68506721706529,33.97079502378005,34.56126022338867,1222298,0.0,0.0,,
2011-06-29 00:00:00-04:00,34.85649490356445,35.14220380939549,34.40888409793632,34.85649490356445,2056978,0.0,0.0,,
2011-06-30 00:00:00-04:00,34.999347850057646,35.40886374429647,34.97077807966131,35.199344635009766,2131129,0.0,0.0,,
2011-07-01 00:00:00-04:00,35.427913766069594,36.18028094672664,35.19934719410369,36.13266372680664,1136443,0.0,0.0,,
2011-07-05 00:00:00-04:00,36.0850428937307,36.246944794669986,35.827906555104356,35.95171356201172,1250711,0.0,0.0,,
2011-07-06 00:00:00-04:00,35.25647616836832,35.42790033299625,34.94219480336149,35.1802864074707,1633170,0.0,0.0,,
2011-07-07 00:00:00-04:00,36.24694601891627,36.94217086499825,36.170759025671934,36.79931640625,2287208,0.0,0.0,,
2011-07-08 00:00:00-04:00,36.18026888917734,36.27550609467107,35.47551916330738,35.656471252441406,1238699,0.0,0.0,,
2011-07-11 00:00:00-04:00,35.28504676977025,35.7421825486438,35.03743283835164,35.1707649230957,1836989,0.0,0.0,,
2011-07-12 00:00:00-04:00,34.437447004864616,34.58982373977234,33.14223216988534,33.218421936035156,4492180,0.0,0.0,,
2011-07-13 00:00:00-04:00,32.580350858329915,33.76128155218046,32.38035683222698,33.02796173095703,8479009,0.0,0.0,,
2011-07-14 00:00:00-04:00,33.047006304590184,33.3327152283211,32.18035720805642,32.323211669921875,3640252,0.0,0.0,,
2011-07-15 00:00:00-04:00,32.72320307839884,32.751772849890784,32.20892481240232,32.68510818481445,2480940,0.0,0.0,,
2011-07-18 00:00:00-04:00,32.3041613771324,32.59939260020619,32.11368971054908,32.580345153808594,3022327,0.0,0.0,,
2011-07-19 00:00:00-04:00,33.342233115903745,33.970793171194934,33.342233115903745,33.80889129638672,2557709,0.0,0.0,35.644284362792966,
2011-07-20 00:00:00-04:00,34.161260460679955,34.161260460679955,33.666032576078344,33.90412139892578,1250711,0.0,0.0,35.53742919921875,
2011-07-21 00:00:00-04:00,34.99934751464351,35.323151297197576,34.65649628621023,35.30410385131836,2157848,0.0,0.0,35.44904998779297,
2011-07-22 00:00:00-04:00,35.30409407498839,36.113603307206084,35.03743270391523,35.97074890136719,1994993,0.0,0.0,35.41552665710449,
2011-07-25 00:00:00-04:00,35.35170888385604,35.87550926892521,35.294569363303275,35.62789535522461,1245475,0.0,0.0,35.35609909057617,
2011-07-26 00:00:00-04:00,35.77075217371437,36.28502747525606,35.65647032747832,35.97074890136719,1428504,0.0,0.0,35.32048065185547,
2011-07-27 00:00:00-04:00,35.627904455784865,35.63742957657108,34.81839507160972,35.47552490234375,4158000,0.0,0.0,35.27057670593262,
2011-07-28 00:00:00-04:00,34.018405076892016,34.5993450330303,33.76126602247838,34.02792739868164,2386307,0.0,0.0,35.19629219055176,
2011-07-29 00:00:00-04:00,34.38031507708967,34.494596963482095,33.932704261686844,33.951751708984375,1840762,0.0,0.0,35.1067700958252,
2011-08-01 00:00:00-04:00,34.40887177092747,34.570773612723094,33.104134715229435,33.48508071899414,1988140,0.0,0.0,35.01115295410156,
2011-08-02 00:00:00-04:00,33.3517465618461,33.71364510301832,32.72318947125206,32.73271179199219,1656578,0.0,0.0,34.91229782104492,
