,Revenue,Net Income,Total Assets,Total Equity,Profit Margin,Asset Turnover,Equity Multiplier,ROE
2021-12-31,,,,,,,,
2022-12-31,21173400000.0,5624200000.0,36300400000.0,8810800000.0,0.26562573795422556,0.5832828288393517,4.119989104281109,0.6383302310800381
2023-12-31,27558500000.0,7839000000.0,39957500000.0,13452400000.0,0.28444944391022736,0.6896953012575862,2.970287829680949,0.5827212988017009
2024-12-31,28262900000.0,7571600000.0,48589600000.0,18476800000.0,0.2678989063401137,0.5816656239195219,2.629762729476966,0.40978957395219956
2025-12-31,32667300000.0,9609400000.0,50566600000.0,19612200000.0,0.29415960302810457,0.6460252419581305,2.5783236964746434,0.48997052854855655
