Date,Close,Volume
2016-05-09 00:00:00-04:00,84.80006408691406,456800
2016-05-10 00:00:00-04:00,85.12834167480469,367700
2016-05-11 00:00:00-04:00,84.42617797851562,897100
2016-05-12 00:00:00-04:00,83.46864318847656,1099600
2016-05-13 00:00:00-04:00,83.25889587402344,770000
2016-05-16 00:00:00-04:00,87.38992309570312,1553600
2016-05-17 00:00:00-04:00,85.99469757080078,710300
2016-05-18 00:00:00-04:00,86.1952896118164,349400
2016-05-19 00:00:00-04:00,85.09186553955078,573700
2016-05-20 00:00:00-04:00,87.07074737548828,571700
2016-05-23 00:00:00-04:00,87.27137756347656,387200
2016-05-24 00:00:00-04:00,88.93109893798828,785500
2016-05-25 00:00:00-04:00,90.20777130126953,1000800
2016-05-26 00:00:00-04:00,90.65462493896484,748900
2016-05-27 00:00:00-04:00,91.26561737060547,765500
2016-05-31 00:00:00-04:00,91.17443084716797,509600
2016-06-01 00:00:00-04:00,91.05585479736328,1335700
2016-06-02 00:00:00-04:00,91.32032012939453,614600
2016-06-03 00:00:00-04:00,91.96778106689453,279900
2016-06-06 00:00:00-04:00,91.25648498535156,389000
2016-06-07 00:00:00-04:00,92.27786254882812,444400
2016-06-08 00:00:00-04:00,92.19578552246094,527300
2016-06-09 00:00:00-04:00,91.69422912597656,624600
2016-06-10 00:00:00-04:00,88.80339813232422,1514900
2016-06-13 00:00:00-04:00,87.84589385986328,1055100
2016-06-14 00:00:00-04:00,86.26825714111328,1624300
2016-06-15 00:00:00-04:00,85.88524627685547,740100
2016-06-16 00:00:00-04:00,87.15281677246094,501300
2016-06-17 00:00:00-04:00,86.3138427734375,702400
2016-06-20 00:00:00-04:00,88.3200912475586,949900
2016-06-21 00:00:00-04:00,89.8156509399414,691700
2016-06-22 00:00:00-04:00,90.05274963378906,501700
2016-06-23 00:00:00-04:00,92.46023559570312,888700
2016-06-24 00:00:00-04:00,86.64215087890625,2063600
2016-06-27 00:00:00-04:00,84.35321044921875,2285900
2016-06-28 00:00:00-04:00,86.08586883544922,707900
2016-06-29 00:00:00-04:00,87.64527130126953,556100
2016-06-30 00:00:00-04:00,90.47223663330078,669800
2016-07-01 00:00:00-04:00,89.77006530761719,957500
2016-07-05 00:00:00-04:00,86.9430923461914,1007800
2016-07-06 00:00:00-04:00,86.53273010253906,1257500
2016-07-07 00:00:00-04:00,86.27738189697266,827900
2016-07-08 00:00:00-04:00,88.6574935913086,588200
2016-07-11 00:00:00-04:00,90.97380828857422,493000
2016-07-12 00:00:00-04:00,91.99516296386719,1280100
2016-07-13 00:00:00-04:00,92.20490264892578,547200
2016-07-14 00:00:00-04:00,93.90107727050781,1023800
2016-07-15 00:00:00-04:00,92.6608657836914,538600
2016-07-18 00:00:00-04:00,94.0469970703125,802800
2016-07-19 00:00:00-04:00,96.3268051147461,3330400
