,Revenue,Gross Profit,Current Assets,Current Liabilities,Total Debt,Total Equity,Gross Margin (%),Current Ratio (Liquidity),Debt-to-Equity (Solvency)
2021-12-31,,,,,,,,,
2022-12-31,21173400000.0,10700100000.0,23064900000.0,17983600000.0,4260400000.0,8810800000.0,50.53557765876052,1.2825518806023266,0.4835429245925455
2023-12-31,27558500000.0,14136100000.0,24393900000.0,16274700000.0,4631600000.0,13452400000.0,51.29488179690477,1.4988847720695313,0.34429544170556925
2024-12-31,28262900000.0,14492000000.0,30737400000.0,20051400000.0,4687600000.0,18476800000.0,51.275700653506895,1.532930368951794,0.25370193972982336
2025-12-31,32667300000.0,17258000000.0,30616100000.0,24263900000.0,4390900000.0,19612200000.0,52.82958799778371,1.2617963311751201,0.22388615249691518
